basetime,city_id,NO2,O3,PM10,PM2.5
2023-01-07,AQ009,15.36,26.92,16.70,14.08
2023-01-07,AQ010,7.12,51.79,6.43,5.15
2023-01-07,AQ011,24.53,16.33,33.50,29.30
2023-01-07,AQ012,25.79,13.33,30.85,28.23
2023-01-07,AQ013,13.85,43.51,5.84,4.76
2023-01-07,AQ014,12.98,39.33,11.22,8.00
2023-01-07,AQ015,5.83,69.24,7.18,3.75
2023-01-07,AQ016,20.86,35.26,10.85,8.27
2023-01-07,AQ017,4.25,70.50,5.28,2.98
2023-01-07,AQ018,9.60,67.36,14.94,8.88
2023-01-07,AQ019,13.61,38.71,28.01,27.29
2023-01-07,AQ020,7.86,62.97,8.82,5.13
2023-01-07,AQ021,8.46,41.84,7.14,5.52
2023-01-07,AQ022,11.64,46.22,11.63,9.47
2023-01-07,AQ023,24.54,26.69,20.41,14.64
2023-01-07,AQ024,10.35,57.10,11.51,7.68
2023-01-07,AQ025,33.94,9.22,53.35,47.76
2023-01-07,AQ026,11.88,50.59,12.11,8.75
2023-01-07,AQ027,22.22,23.89,9.94,8.33
2023-01-07,AQ028,42.72,19.50,33.44,29.77
2023-01-07,AQ029,4.79,61.14,12.58,10.00
2023-01-07,AQ030,19.77,25.47,10.12,9.14
2023-01-07,AQ031,13.95,47.36,7.47,6.03
2023-01-07,AQ032,6.67,48.01,21.88,19.21
2023-01-07,AQ033,16.36,39.19,10.92,9.76
2023-01-07,AQ034,22.87,18.35,39.64,31.98
2023-01-07,AQ035,3.34,69.50,3.50,2.25
2023-01-07,AQ036,4.76,51.67,9.93,7.22
2023-01-07,AQ037,25.77,12.15,21.03,18.20
2023-01-07,AQ038,6.43,53.16,29.13,25.60
2023-01-07,AQ039,25.02,20.06,65.65,46.05
2023-01-07,AQ040,15.23,37.40,31.07,24.84
2023-01-07,AQ041,6.34,46.74,7.28,4.90
2023-01-07,AQ042,6.57,60.93,7.71,5.33
2023-01-07,AQ043,14.36,40.92,25.81,21.46
2023-01-07,AQ044,27.24,12.54,60.14,55.74
2023-01-07,AQ045,10.47,44.87,13.00,10.40
2023-01-07,AQ046,13.02,59.89,10.67,7.72
2023-01-07,AQ047,18.05,32.23,12.88,10.86
2023-01-07,AQ048,5.72,43.81,9.54,7.50
2023-01-07,AQ049,26.77,19.37,35.69,30.30
2023-01-07,AQ050,15.58,28.32,28.54,27.28
2023-01-08,AQ001,9.83,58.59,8.56,4.43
2023-01-08,AQ002,38.47,19.03,61.88,49.63
